date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:32	361998/361998	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2017:17:32%20GMT	https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/	C:/Mis%20lugares%20Web/Test/eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/index.html	(from )
14:17:33	202/202	---MCZ	200	added ('OK')	text/plain	date:Tue,%2027%20Aug%202024%2017:17:33%20GMT	https://eventobonito.com/robots.txt		(from )
14:17:34	23077/23077	---MCZ	200	added ('OK')	text/css	etag:W/%2266acdc19-5a25%22	https://eventobonito.com/wp-content/plugins/woocommerce-multi-currency/css/woocommerce-multi-currency.min.css?ver=2.3.3	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/plugins/woocommerce-multi-currency/css/woocommerce-multi-currency.minb6db.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
14:17:35	41482/41482	---MCZ	200	added ('OK')	text/css	etag:W/%22647cf58e-a20a%22	https://eventobonito.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.5	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/themes/astra/assets/css/minified/main.min31a4.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
14:17:36	16101/16101	---MCZ	200	added ('OK')	text/css	etag:W/%22647cf58e-3ee5%22	https://eventobonito.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min.css?ver=4.1.5	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min31a4.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
14:17:37	6005/6005	---MCZ	200	added ('OK')	text/css	etag:W/%22647cf58e-1775%22	https://eventobonito.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min.css?ver=4.1.5	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min31a4.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
14:17:38	115260/115260	---MCZ	200	added ('OK')	text/css	etag:W/%22647cf58e-1c23c%22	https://eventobonito.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.1.5	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min31a4.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
14:17:39	83260/83260	---MCZ	200	added ('OK')	text/css	etag:W/%2265b2a2a5-1453c%22	https://eventobonito.com/wp-content/uploads/astra-addon/astra-addon-65b2a2a53c8343-21199354.css?ver=4.4.0	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/uploads/astra-addon/astra-addon-65b2a2a53c8343-21199354474a.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
14:17:40	19820/19820	---MCZ	200	added ('OK')	text/css	etag:W/%2266c30051-4d6c%22	https://eventobonito.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.30.0	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine94d.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
14:17:41	212120/212120	---MCZ	200	added ('OK')	text/css	etag:W/%2266c30051-33c98%22	https://eventobonito.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.4	C:/Mis%20lugares%20Web/Test/eventobonito.com/wp-content/plugins/elementor/assets/css/frontend-lite.mind5d5.css	(from https://eventobonito.com/invitaciones-digitales-de-xv/elegantes/modelo10/)
